from_vertex_id;to_vertex_id;one_way;weight;geom
1874;1875;FT;9.311647;LINESTRING(37.612988 55.763051,37.612972 55.763067,37.612917 55.763124)
7685;7687;FT;5.039153;LINESTRING(37.624464 55.734508,37.624428 55.734505,37.624385 55.734501)
24833;12468;FT;20.057155;LINESTRING(37.614287 55.745081,37.614342 55.745017,37.614423 55.744917)
6770;6771;FT;19.156114;LINESTRING(37.635229 55.759517,37.635071 55.759462,37.634968 55.759426)
7294;7296;FT;50.119550;LINESTRING(37.605639 55.740858,37.605409 55.740481,37.605379 55.740432)
1822;1824;FT;29.852563;LINESTRING(37.590723 55.744952,37.590712 55.744954,37.590252 55.744994)
9573;9574;FT;60.459987;LINESTRING(37.615930 55.739029,37.616017 55.739162,37.616264 55.739539)
9573;6183;FT;27.028079;LINESTRING(37.615930 55.739029,37.616017 55.739162,37.616085 55.739068)
25001;22129;FT;18.071100;LINESTRING(37.665270 55.747984,37.665420 55.747952,37.665546 55.747937)
3773;3774;FT;7.848975;LINESTRING(37.633026 55.742411,37.633088 55.742418,37.633149 55.742425)
23315;23316;FT;30.407235;LINESTRING(37.616826 55.764422,37.616919 55.764284,37.617001 55.764167)
2592;2594;FT;24.026841;LINESTRING(37.609108 55.747070,37.609255 55.747194,37.609320 55.747250)
14725;14727;FT;26.686153;LINESTRING(37.596036 55.739181,37.595964 55.739066,37.595893 55.738955)
2774;2772;FT;42.072291;LINESTRING(37.587274 55.749997,37.587029 55.750304,37.586999 55.750342)
20685;20686;FT;9.214498;LINESTRING(37.638539 55.758288,37.638573 55.758250,37.638605 55.758214)
23820;23821;FT;23.196248;LINESTRING(37.634849 55.756560,37.634879 55.756520,37.634991 55.756368)
487;488;FT;17.278012;LINESTRING(37.679682 55.746594,37.679901 55.746577,37.679956 55.746573)
224;225;FT;22.011751;LINESTRING(37.631473 55.759864,37.631555 55.759691,37.631564 55.759673)
11674;11675;FT;12.619454;LINESTRING(37.654448 55.741721,37.654330 55.741762,37.654278 55.741782)
25397;25399;FT;25.538309;LINESTRING(37.590807 55.743952,37.590472 55.744000,37.590411 55.744009)
23369;10519;FT;17.535056;LINESTRING(37.580360 55.757927,37.580552 55.757912,37.580628 55.757935)
23369;4929;FT;32.618495;LINESTRING(37.580360 55.757927,37.580552 55.757912,37.580849 55.757834)
21109;21111;FT;27.493358;LINESTRING(37.582895 55.736651,37.582677 55.736795,37.582611 55.736839)
18621;18619;FT;6.863755;LINESTRING(37.627318 55.728981,37.627241 55.728971,37.627211 55.728967)
13506;13504;FT;19.632014;LINESTRING(37.568799 55.763753,37.568578 55.763763,37.568487 55.763770)
10154;10152;FT;82.778445;LINESTRING(37.687392 55.757597,37.688286 55.757212,37.688442 55.757144)
1364;1263;FT;8.017916;LINESTRING(37.620023 55.763759,37.619992 55.763759,37.619989 55.763813)
12774;7836;FT;11.702469;LINESTRING(37.639476 55.742414,37.639453 55.742465,37.639372 55.742439)
12774;12776;FT;11.417637;LINESTRING(37.639476 55.742414,37.639453 55.742465,37.639433 55.742513)
